Vertices,Avg.Time Taken DP,Avg.Time Taken Greedy
3,0.0000,0.0000
4,0.0200,0.0000
5,0.0000,0.0000
6,0.0000,0.0200
7,0.0200,0.0000
8,0.0200,0.0000
9,0.1000,0.0000
10,0.0000,0.0000
11,0.0600,0.0200
12,0.1400,0.0000
13,0.1600,0.0000
14,0.2000,0.0200
15,0.2200,0.0000
16,0.2000,0.0000
17,0.2200,0.0400
18,0.2600,0.0200
19,0.4200,0.0600
20,0.3600,0.0200
21,0.5400,0.0000
22,0.6400,0.0400
23,0.6400,0.0200
24,0.8800,0.0600
25,0.8400,0.0000
26,1.0800,0.0400
27,1.0000,0.0400
28,1.1200,0.0600
29,1.1000,0.0800
30,1.5400,0.0400
31,1.5400,0.1000
32,1.7400,0.0800
33,1.8400,0.1000
34,2.1600,0.1800
35,2.3800,0.0400
36,2.5600,0.0200
37,2.5200,0.0800
38,2.7400,0.2600
39,3.3000,0.0800
40,3.3400,0.1600
41,3.4400,0.2200
42,4.0200,0.1000
43,4.2600,0.0800
44,4.1800,0.2000
45,4.6200,0.1400
46,5.1400,0.0800
47,5.2000,0.2000
48,5.5600,0.1400
49,6.2800,0.1000
50,6.4200,0.2600
